品项名称,门店,总销量,首次销售数量,复购数量,复购点击率,会员单份均价,价格带,象限
文思豆腐,旗舰店,5166,2100,1210,23.42,68.0,58-88元,招牌担当
松鼠鳜鱼,旗舰店,3980,1620,880,22.11,168.0,128元以上,招牌担当
蟹粉狮子头,旗舰店,2140,1010,300,14.02,88.0,88-128元,高毛利低渗透
响油鳝糊,旗舰店,4410,1380,420,9.52,78.0,58-88元,低毛利高渗透
冷碟拼盘,旗舰店,1290,420,90,6.98,38.0,38-58元,下架候选
铫子煨排骨粉藕汤,旗舰店,6234,2410,1580,25.34,49.0,38-58元,招牌担当
清蒸东星斑,旗舰店,212,80,20,9.43,398.0,128元以上,小样本
板栗红烧肉（大份）,河西店,1180,510,240,20.34,98.0,88-128元,招牌担当
板栗红烧肉（小份）,河西店,2320,980,560,24.14,58.0,58-88元,招牌担当
蒜蓉小龙虾（会员活动）,河西店,360,54,306,85.00,128.0,88-128元,促销衍生
扬州炒饭（半例）,河西店,6528,10,4,0.06,18.0,38元以下,会员归属异常
扬州炒饭,河西店,4102,1520,1130,27.55,28.0,38元以下,招牌担当
